core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
80.45,14.46,3.12,2.25,1.62,1.57,2.91,1.92,148.54,4.3,486
91.25,13.63,2.68,2.5,1.33,1.58,2.95,1.44,131.14,3.65,487
79.04,14.52,2.72,2.21,1.44,1.6,3.43,1.69,113.58,2.53,488
78.9,14.66,2.73,2.23,1.31,1.48,4.06,1.57,139.38,1.99,489
74.09,14.39,2.89,2.58,1.76,1.52,3.7,1.65,171.13,3.51,490
77.07,14.93,3.03,2.13,1.9,1.83,2.46,1.54,131.35,3.75,491
74.37,14.92,2.6,2.39,1.7,1.76,2.51,1.59,114.94,4.02,492
79.41,14.45,3.25,2.4,1.66,1.35,4.2,1.48,130.78,3.4,493
76.37,14.67,2.48,2.26,1.44,1.37,3.18,1.57,115.29,2.39,494
77.6,14.6,2.69,2.6,1.55,1.48,3.39,1.61,124.64,3.25,495
74.85,14.56,2.75,2.37,1.61,1.75,3.4,1.85,105.14,3.97,496
79.2,14.43,2.9,2.46,1.73,1.51,3.5,1.69,106.84,2.95,497
78.8,14.62,2.7,2.17,1.79,1.58,3.48,2.23,131.23,3.49,498
80.7,14.76,2.6,2.31,1.71,1.67,3.74,1.65,122.6,3.09,499
77.96,14.39,2.95,2.56,1.34,1.56,3.3,1.79,138.74,3.68,500
81.37,14.9,2.81,2.36,2.07,1.91,3.09,2.07,115.99,3.49,501
76.63,14.67,2.99,2.21,1.69,1.84,3.17,1.89,134.19,3.95,502
75.89,14.87,3.09,2.31,1.3,1.68,2.63,1.81,144.95,2.97,503
81.56,14.47,3.63,2.5,1.54,1.65,2.8,1.63,142.04,3.42,504
81.07,14.56,3.16,2.22,1.4,1.86,2.91,1.72,145.51,3.29,505
81.24,14.59,3.25,2.46,1.46,1.45,3.67,1.76,118.79,2.25,506
80.85,14.89,2.99,2.32,1.39,1.45,3.37,2.1,147.06,3.29,507
80.38,14.47,2.79,3.12,1.3,1.73,3.27,1.63,146.62,3.33,508
81.28,14.92,3.09,2.7,0.93,1.51,3.64,1.82,147.02,3.23,509
80.19,14.69,3.3,2.53,0.92,2.19,2.75,1.97,143.81,3.44,510
81.36,14.46,3.19,2.32,1.43,1.82,3.9,1.87,149.52,3.02,511
83.81,14.57,2.98,2.26,0.78,1.51,3.34,1.89,148.54,3.38,512
81.04,14.39,3.12,2.36,0.26,1.49,2.96,1.61,145.62,2.94,513
