query_id,time_violation,remaining_inference_time,data_sources,top_1,top_3,top_5,top_10,no_object,list_objects
df026ae4-0c52-41ba-b04f-39ad1bc493fc,False,2.0302561630857383,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,4.0,"[0, 1, 4, 6]"
72adab40-c82b-4580-b2e5-ce391afb2ae7,False,0.2945723266037521,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,8.0,"[0, 1, 2, 3, 4, 5, 6, 7]"
f226d49f-fef7-4194-9d5b-499d803b92f8,False,1.286781968044174,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,5.0,"[0, 1, 2, 3, 5]"
13c253fa-d281-4527-8642-1102d0de26e0,False,0.7102495044360451,"['rgb', 'ninf', 'minf', 'finf']",10.0,10.0,10.0,10.0,10.0,"[0, 1, 2, 3, 4, 5, 6, 9, 12, 17]"
5df68192-aa69-4640-8e5b-95c743f007ea,False,1.1880198442974628,"['rgb', 'ninf', 'minf', 'finf']",17.0,17.0,17.0,17.0,18.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 19, 26, 27]"
ac4b18df-16b0-4139-9a99-e2254cf28118,False,2.2020793710913917,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
d212c86d-7839-436e-82dd-d269b0786bec,False,2.096496917140385,"['rgb', 'ninf', 'minf', 'finf']",10.0,10.0,10.0,10.0,10.0,"[0, 1, 2, 3, 4, 5, 8, 10, 12, 13]"
44b15fc3-769f-4b9f-aaf8-b146f2a556f3,False,1.9276715384088647,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,10.0,"[0, 1, 2, 3, 4, 7, 8, 9, 10, 19]"
8452631d-e4e2-4bb1-b4a2-bd3381edd030,False,0.7493570413434862,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 1]"
5454c30d-17de-4e16-accd-3711341df073,False,2.0503261544751155,"['rgb', 'ninf', 'minf', 'finf']",6.0,7.0,7.0,7.0,8.0,"[0, 1, 2, 5, 6, 7, 11, 12]"
3959ab7d-4294-466f-b56b-590e2addf396,False,0.6243362755350989,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,6.0,"[0, 1, 2, 4, 6, 7]"
f9f87070-c128-418f-9454-27ef1e142d47,False,0.534679846160026,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,3.0,"[0, 1, 3]"
f73720a8-383f-4be2-ba63-e923a4874c5e,False,1.7966447015516138,"['rgb', 'ninf', 'minf', 'finf']",3.0,3.0,3.0,3.0,3.0,"[0, 1, 10]"
532e5659-84d2-4e1b-b0e4-c93a026ea901,False,2.12235214126147,"['rgb', 'ninf', 'minf', 'finf']",1.0,1.0,1.0,1.0,1.0,[0]
c8d5d369-77f2-4f27-9c50-421c75341285,False,1.4499852966479108,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,3.0,"[0, 1, 5]"
7bf9a558-b0b9-42ff-af9d-68964890c6e6,False,1.0832821107483872,"['rgb', 'ninf', 'minf', 'finf']",5.0,5.0,5.0,5.0,6.0,"[0, 1, 2, 3, 4, 6]"
4ee3ee88-5845-43a1-a896-1519c1e58ae7,False,0.6440649288912166,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,10.0,"[0, 1, 2, 3, 4, 5, 6, 8, 14, 21]"
05522b43-a3d9-45cb-8976-fbfa198e6b87,False,0.6642800395922356,"['rgb', 'ninf', 'minf', 'finf']",4.0,6.0,6.0,6.0,6.0,"[0, 1, 2, 3, 4, 5]"
6f40c5d0-753f-45d2-8a1d-b7150739abc2,False,1.624279672049437,"['rgb', 'ninf', 'minf', 'finf']",6.0,6.0,6.0,6.0,7.0,"[0, 1, 2, 3, 4, 5, 6]"
996492df-b61d-4ac2-897d-d622692cacdd,False,1.2117194799043152,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,2.0,"[0, 3]"
324d0c28-dd20-45a4-b385-2f7a3a963dc9,False,1.8067061363982884,"['rgb', 'ninf', 'minf', 'finf']",4.0,4.0,4.0,4.0,4.0,"[0, 1, 4, 5]"
9b22e14e-65bb-4c66-b0b9-e5c3013ea451,False,1.1626749190905226,"['rgb', 'ninf', 'minf', 'finf']",6.0,7.0,7.0,7.0,7.0,"[0, 1, 2, 3, 4, 5, 7]"
1dd2d7dd-016f-4964-b615-50431d0c5c74,False,1.4515933290316645,"['rgb', 'ninf', 'minf', 'finf']",7.0,7.0,7.0,7.0,7.0,"[0, 1, 2, 3, 4, 6, 7]"
a678c68e-155f-452b-855f-862a814ae742,False,1.549362778984969,"['rgb', 'ninf', 'minf', 'finf']",2.0,2.0,2.0,2.0,3.0,"[0, 1, 2]"
